abed                 2378
arms                 476, 814, 897, 906, 1376, 1639, 2625, 5105, 5149, 6246, 6313, 6351, 6705, 6706, 7118
arn                  3289
arose                1456, 7282
around               609, 1207, 1762, 3117, 3203, 3230, 4696, 6846, 7267, 7449
arranged             1665, 2320, 5957, 6102
arrangements         430
array                7789
arrested             5502
arrival              1195, 1726, 2612, 2644
arrive               398, 418
arrived              5659
article              1322
articles             3324
ascended             778, 1497, 3015
ascii                7620, 7624
ashamed              437, 4018, 5461, 5509
asia                 2230
ask                  119, 794, 2797, 3218, 4173, 4214, 5003, 5009, 5062, 5095, 5170, 5177, 5190, 5420, 5428, 5749, 5939, 5988, 6167, 6604, 6629, 6665, 6912, 7241, 7248, 7248, 7294, 7377
asked                119, 1233, 1785, 2260, 2376, 2440, 2649, 3040, 3291, 3409, 3497, 3526, 3583, 3689, 3809, 4163, 4178, 4192, 4267, 4270, 4330, 4685, 4769, 4772, 4789, 4867, 4920, 5029, 5100, 5153, 5158, 5469, 5587, 5722, 5789, 5965, 6163, 6421, 6439, 6474, 6620, 6628, 6693, 6732, 6830, 6982, 7172, 7346, 7375, 7397, 7399
askin                2741, 5897
asking               1520, 5180, 5614, 6600, 6632
asks                 969
asleep               1468, 3307
asserted             2726, 7343
assertion            2708
assistance           7746
associated           7484, 7518, 7539, 7559, 7580, 7593, 7608, 7728
assume               3076
assurance            6111
ate                  631, 1139, 3661, 6243
atom                 2864
attached             7561
attacking            4147
attempt              5715
attempted            1226, 5935
attempts             1043
attended             4809, 5310
attention            120, 258, 1384, 3140, 3334, 6317
attic                52, 137, 142, 257, 322, 401, 639, 681, 763, 764, 944, 1043, 1174, 1205, 1334, 1515, 1620, 1646, 1679, 1679, 1704, 2469, 2479, 2533, 2600, 2784, 2811, 4104
attitude             2325
attract              6317
audibly              1245, 1312, 3545, 4481
august               13, 2610, 2610, 4472, 4543
aunt                 556, 563, 581, 601, 610, 617, 623, 631, 656, 690, 692, 692, 714, 720, 726, 726, 733, 739, 742, 749, 749, 753, 757, 771, 778, 785, 792, 797, 1001, 1026, 1122, 1140, 1145, 1150, 1153, 1161, 1180, 1201, 1209, 1212, 1212, 1222, 1223, 1272, 1282, 1287, 1310, 1315, 1318, 1329, 1340, 1345, 1355, 1357, 1360, 1375, 1400, 1411, 1420, 1423, 1460, 1460, 1467, 1473, 1485, 1486, 1494, 1497, 1508, 1554, 1685, 1687, 1691, 1693, 1718, 1718, 1743, 1746, 1879, 1913, 2408, 2428, 2429, 2439, 2459, 2470, 2472, 2497, 2501, 2513, 2521, 2565, 2567, 2567, 2569, 2584, 2585, 2589, 2592, 2621, 2639, 2657, 2658, 2766, 2769, 2772, 2780, 2807, 2809, 2828, 2832, 2858, 2873, 2901, 2988, 2993, 2996, 2998, 3000, 3002, 3003, 3040, 3197, 3199, 3207, 3350, 3426, 3427, 3432, 3434, 3438, 3443, 3455, 3458, 3468, 3484, 3513, 3553, 3755, 3757, 3757, 3828, 3920, 3925, 3935, 3941, 3944, 3946, 3955, 3968, 3970, 3971, 3976, 3984, 3987, 3989, 3996, 3997, 4011, 4011, 4014, 4028, 4046, 4052, 4062, 4092, 4101, 4105, 4110, 4114, 4121, 4126, 4144, 4149, 4173, 4178, 4194, 4269, 4275, 4317, 4354, 4390, 4494, 4500, 4502, 4509, 4512, 4518, 4526, 4530, 4538, 4539, 4539, 4617, 4619, 4624, 4658, 4673, 4717, 4727, 4759, 4765, 4776, 4834, 4838, 4849, 4856, 4868, 4872, 4874, 4882, 4892, 4898, 4918, 4923, 4949, 4987, 5059, 5062, 5068, 5084, 5096, 5127, 5130, 5131, 5166, 5180, 5184, 5387, 5595, 5654, 5658, 5661, 5713, 5714, 5717, 5740, 5748, 5757, 5789, 5810, 5822, 5827, 5829, 5986, 6053, 6058, 6073, 6088, 6090, 6097, 6110, 6114, 6201, 6224, 6271, 6277, 6293, 6298, 6304, 6304, 6320, 6332, 6345, 6580, 6588, 6590, 6604, 6645, 6646, 6648, 6812, 7033, 7039, 7044, 7046, 7050, 7054, 7068, 7069, 7075, 7078, 7095, 7107, 7107, 7108, 7111, 7132, 7238, 7390, 7410, 7422, 7422, 7424, 7428, 7430, 7430, 7445, 7460
auntie               2886, 3189, 5733
author               11, 34
automobile           5732, 5770
autymobile           5691, 6493
available            7520, 7748
aware                5312
away                 4, 128, 181, 314, 430, 509, 670, 721, 765, 807, 850, 1231, 1495, 1525, 1559, 1648, 1758, 2147, 2222, 2264, 2694, 2892, 2916, 3078, 3355, 3359, 3363, 3404, 3413, 3425, 3429, 3482, 3802, 3817, 3876, 3951, 4009, 4102, 4179, 4262, 4936, 5174, 5398, 5459, 5490, 5695, 5744, 5830, 6230, 6232, 6267, 6274, 6306, 6320, 6605, 6705, 6753, 7038, 7349, 7504, 7584
awed                 4546, 5342
awestruck            4379
awful                562, 819, 1135, 1428, 2332, 2349, 2360, 2363, 2783, 3215, 3404, 3451, 6207, 6667, 6667, 6973, 7335
awfully              371, 750, 2358, 2423, 2922, 4292, 6710, 6791, 7026
awkwardly            6523
awoke                1194, 5783, 6313
babbling             6907
babel                3016
babies               231, 315
baby                 230, 1569, 4548, 6701, 7025
back                 216, 291, 468, 704, 880, 886, 909, 920, 943, 970, 983, 1226, 1253, 1256, 1554, 1636, 1661, 1703, 1910, 1938, 1956, 1958, 1964, 2002, 2092, 2118, 2236, 2279, 2324, 2659, 2716, 2821, 2838, 2922, 2950, 2952, 2959, 3114, 3144, 3145, 3151, 3151, 3233, 3264, 3269, 3308, 3363, 3562, 3645, 3661, 3672, 3712, 3771, 3985, 4066, 4080, 4086, 4114, 4152, 4170, 4338, 4344, 4485, 4605, 4793, 4795, 4988, 5027, 5255, 5353, 5368, 5425, 5496, 5531, 5531, 5591, 5634, 5641, 5662, 5668, 5708, 5715, 5984, 6058, 6235, 6314, 6507, 6739, 6826, 6941
backbiting           5289
backed               403, 1516, 2480
backs                6525
backstitching        1430
backward             5927
bad                  653, 819, 1151, 1170, 2517, 2788, 2824, 2844, 3716, 3720, 3733, 4353, 5445, 5519, 5526, 5666, 5685, 5740, 6232, 6365, 6483, 6883, 7003, 7003
bag                  500, 504, 1665
bags                 1647, 1649, 6523
balls                2188, 3738
band                 4544, 4567, 5801
bang                 279, 281, 456, 1206, 2564, 2585, 2600, 4626, 7128
banged               132, 2575, 2582, 2583, 2594, 2596
banging              1330, 2594, 4619
bare                 274, 639, 780, 805, 805, 806, 858, 1043, 1389
bared                2778
bark                 3322
barked               3132
barking              3134, 3143, 3146, 3152
barn                 5835, 5873
barrel               532, 642, 1064, 1069, 1355, 2403, 6935
barrels              651, 658, 716, 1354, 1370, 1371, 1548, 2515, 7029
based                7555, 7569
basket               2266, 2276, 2279, 2312
basque               532, 708
bated                905
beamed               1787, 2105, 3586, 3812
bean                 2718, 2751, 2775, 2795, 2828, 2880, 2912, 3001, 3003, 3012, 3052, 3092, 3102, 3122, 3128, 3389, 4306, 4308, 5222, 5226, 5267, 5270, 5274, 5281, 5581, 6476, 6548, 6554, 6567, 6575, 7125, 7211, 7263, 7274
beans                2188, 2189, 2191, 3738, 3739
bear                 6599
beard                6268
beast                2628
beat                 1592, 2741, 3685
beats                4358
beautiful            644, 659, 714, 776, 887, 1164, 1273, 3120, 3878, 4101, 4316, 4480, 4650, 5520, 7037, 7072
beauty               773, 1627, 5283
because              169, 553, 556, 589, 1027, 1091, 1550, 1569, 1573, 1777, 1838, 1939, 2006, 2514, 2523, 2576, 2682, 2764, 2835, 2975, 3283, 3724, 3725, 3904, 3909, 4002, 4044, 4367, 4895, 4978, 5136, 5138, 5221, 5297, 5316, 5507, 5979, 6643, 6674, 6689, 6714, 6769, 6879, 6882, 6911, 6976, 7040, 7089, 7151, 7742
become               458, 4608, 5103, 5975
becoming             4081, 5310, 6240
bed                  137, 403, 950, 1155, 1524, 1609, 1613, 1617, 1637, 1642, 1650, 1712, 1718, 1876, 1897, 1927, 1938, 1964, 2031, 2260, 2344, 2394, 3645, 3648, 4580, 4596, 4610, 4644, 5655, 5789, 5801, 6123, 6131, 6132, 6296, 6317, 6942, 7143, 7321, 7436, 7446, 7452, 7461
bedclothes           2050, 2053
bedecked             4124
bedroom              3639, 4136, 4608, 6303
bedside              6245, 6286, 6360, 7217, 7411
been                 97, 126, 182, 217, 219, 228, 232, 241, 375, 406, 408, 416, 446, 486, 492, 546, 552, 765, 1110, 1147, 1269, 1378, 1379, 1398, 1617, 1673, 1739, 1946, 2053, 2076, 2290, 2314, 2334, 2351, 2476, 2476, 2495, 2506, 2518, 2524, 2604, 2644, 2673, 2678, 2683, 2856, 2856, 2889, 2912, 2962, 3110, 3110, 3138, 3570, 3636, 3733, 3863, 4104, 4507, 4636, 4727, 4740, 4869, 4891, 4918, 4939, 4956, 4977, 4987, 4989, 4992, 5000, 5119, 5138, 5181, 5287, 5297, 5301, 5302, 5389, 5478, 5562, 5707, 5815, 5815, 5823, 5897, 5898, 5899, 6009, 6015, 6027, 6199, 6292, 6305, 6360, 6388, 6499, 6575, 6656, 6678, 6689, 6691, 6749, 6762, 6765, 6797, 6829, 6867, 6868, 6919, 6961, 7004, 7157, 7170, 7218, 7228, 7408
before               60, 123, 130, 172, 181, 212, 388, 466, 501, 529, 807, 868, 882, 909, 1165, 1270, 1430, 1451, 1617, 1639, 1673, 1735, 1798, 1875, 1957, 1968, 1994, 2012, 2140, 2410, 2479, 2522, 2564, 2667, 2701, 2739, 2877, 2901, 2949, 2971, 3002, 3004, 3008, 3034, 3081, 3137, 3158, 3226, 3227, 3302, 3565, 3570, 3968, 4002, 4003, 4038, 4085, 4103, 4170, 4189, 4280, 4311, 4314, 4322, 4338, 4433, 4603, 4675, 4693, 4701, 4880, 4927, 5000, 5086, 5100, 5123, 5209, 5344, 5413, 5501, 5524, 5542, 5559, 5562, 5705, 5824, 5934, 6110, 6499, 6656, 6697, 6710, 6816, 6895, 6911, 6976, 7174, 7312, 7514, 7568
beg                  3181
began                287, 340, 518, 919, 1064, 1071, 1078, 1525, 1866, 2103, 2403, 2703, 2713, 2767, 3066, 3067, 3525, 3647, 4020, 4096, 4412, 4727, 4780, 4891, 4987, 5256, 5401, 5466, 5472, 5746, 5939, 6047, 6517, 6532, 6706, 6761, 6833, 7145, 7151, 7253, 7286, 7419
beggar               2851, 2884, 2894, 2929, 3003, 3420, 3993
beggars              2845
begged               1825, 4790, 6784
beggin               6986
begging              1767, 7173
begin                937, 1442, 5443, 7310, 7316
beginning            1440, 1985, 2916, 4490, 5182, 7310, 7604
begs                 6426, 6493
begun                374, 1570, 2326, 3386, 5906, 6701, 6751, 6993, 7301
behind               323, 511, 743, 771, 775, 1125, 1330, 1636, 1655, 1685, 2075, 2092, 3590, 6401, 6895, 7011, 7386
bein                 1041, 1186, 1187, 1596, 6953
being                246, 656, 913, 1039, 1051, 1727, 1728, 1936, 2125, 2212, 2351, 2448, 2450, 2453, 2522, 2561, 3301, 3619, 3620, 3628, 3846, 3895, 4225, 4971, 5220, 5416, 6874, 7035, 7086, 7458
belated              1183, 4110
beldingsville        183, 201, 399, 6497, 7140, 7141
believe              191, 799, 900, 1178, 1428, 1431, 2754, 3680, 4434, 6068, 6083, 6118, 6216, 6567, 7013, 7014, 7137, 7202
believed             1505, 6118
bell                 882, 926, 1252, 1255, 3566, 4571
belle                41
belong               1406, 5825, 5827, 6014
belonged             1720, 2640, 5826
below                237, 1632, 1654, 1775, 7543, 7546, 7670
bemoaning            6512
bend                 2964
beneath              468, 744, 2539, 6823, 7208
bent                 291, 387, 910, 916, 1209, 1226, 2022, 6188, 6194
benton               6727, 6730, 6738, 6743, 6752
beseeching           3154
beside               559, 912, 7450, 7461
besides              125, 533, 590, 1400, 2103, 2568, 2738, 2907, 3212, 4308, 4315, 4969, 6048, 6101, 6130, 6581, 7144
best                 152, 192, 386, 387, 387, 464, 1386, 1412, 1989, 2674, 3605, 3708, 4673, 4977, 5000, 5546, 6848, 7232
bestow               760
bestowed             1383
bet                  583
better               656, 799, 1012, 1752, 1983, 1994, 2124, 2134, 2146, 2936, 2950, 3297, 3304, 3422, 3597, 3739, 3775, 4304, 4512, 4527, 4932, 5248, 5262, 5292, 5458, 5519, 5841, 5864, 6709, 7144, 7152
between              512, 917, 1637, 2056, 3127, 3152, 3184, 3222, 3452, 3452, 3454, 7156, 7157
bevelled             4555
bewilderment         2074
beyond               910, 3238, 4280, 4490
bible                646, 3679, 3681, 5443, 5492
big                  267, 408, 603, 607, 772, 894, 914, 978, 1412, 1950, 2178, 2217, 2783, 3193, 3230, 4285, 4287, 4452, 4575, 6793, 6962, 7437
biggest              3396, 5697
bills                2195, 2200
billy                34, 34
binary               7616
bird                 3316
birds                1200, 5341
birthday             4973
bit                  568, 573, 1151, 1170, 1177, 1178, 1698, 2114, 2267, 2811, 3095, 3289, 4120, 5752, 6989
biting               279
bits                 4609, 4611
bitter               376, 4509, 5340, 5915, 6229
bitterly             1941
bitterness           3711, 6860
biz                  3420, 3420
black                530, 531, 535, 538, 539, 547, 708, 742, 1378, 1773, 1951, 2007, 2007, 2010, 2014, 2019, 3981, 3982, 3989, 4938, 5543, 6729, 7453
blackness            1620, 1638
bladed               2704
blame                2886, 3349, 4529, 5651, 6698
blamin               2883
blank                5488
blankets             6248, 6702
ble                  2444, 2448, 2453
bless                3868, 6181
blessed              266, 674, 953, 5685, 5771, 5893, 6121, 6128, 6134, 6919, 6972
blessing             3864
blest                6977
blew                 1199, 1612, 6525
blindly              808, 2875, 4096, 6892
blinds               607
blinked              740, 1689, 1875
blinking             1668, 5801, 6182, 6371
blithely             2400
blithesomely         2085
blooming             4111
blown                965, 3964, 7110
blows                3678
blue                 353, 772, 1196, 3126, 3222, 4544, 4610, 6708, 6730, 6748, 6868, 6910
blur                 5983
blurred              1236, 4950
blush                1361, 2496, 2991, 6274
blushed              2511, 6657
blushing             2977
board                2852, 3419
boarding             3862
body                 3153, 3292, 3309
bolt                 3232
bones                5701
bony                 2778
book                 65, 684, 1172, 1341, 2788, 3262, 3633, 4238, 4381, 4383, 4913, 6524
bookcase             1319
booklet              1320
books                187, 717, 847, 850, 2237, 2237, 4480
borne                5652
bossin               6132
boston               201, 3362
both                 534, 1205, 1376, 2306, 3728, 4248, 4445, 4594, 4753, 4755, 4760, 4873, 6008, 6434, 7128, 7405, 7601, 7668
bottle               2062, 3597
bottom               3723
bought               497, 1387
bounce               4840
bound                1848, 2308, 5811, 7106, 7534, 7540
bounded              3569
bounding             3879
bow                  6748
bowed                6405, 6563
bowl                 3576, 3665
bowlful              2685
bowls                2312, 2321
box                  3623, 4286, 4293, 4295, 4316, 4345
boxes                138, 783
boy                  2670, 2687, 2689, 2694, 2703, 2715, 2733, 2737, 2741, 2747, 2760, 2811, 2818, 2821, 2825, 2847, 2862, 2877, 2880, 2880, 2883, 2892, 2905, 2915, 2926, 2937, 2940, 2949, 2963, 2966, 3094, 3129, 3357, 3391, 3412, 3993, 4010, 4304, 4306, 5248, 5261, 5265, 6548, 6569, 6569, 6576, 7026, 7126, 7208, 7286
boys                 1354, 1758, 3074, 3078, 3093, 3100, 3101, 3411, 4308, 4669, 5221
braced               5213
braids               467
branch               902, 903, 3317
branches             897
brand                496, 1549
brass                3249, 3636, 4575
brave                525, 1043, 2708, 4264
bravely              734, 849, 5181
breach               7692, 7692
bread                938, 946, 955, 1026, 1032, 1038, 1139, 1148, 1150, 1442
break                227, 2976, 3699, 3704, 6178
breakfast            1158, 1255, 1263, 1307
breaking             3059
breath               507, 515, 523, 541, 546, 724, 905, 918, 1245, 1312, 1623, 1706, 1716, 1870, 2048, 2391, 2793, 3171, 3236, 3259, 3686, 4197, 4227, 4430, 4629, 5532, 5671, 5922, 6354, 7078, 7362
breathe              785, 1467, 3316
breathed             312, 749, 868, 1094, 1125, 2873, 3763, 4337, 4379, 4444, 4566, 4613, 7264
breathing            1466, 1473
breathless           3453
breathlessly         5118, 6666, 7373
breaths              1659
bred                 6552
bridled              6208, 7326
brief                3018, 3261, 3603, 3664, 5780, 5964, 6552, 6634
bright               1241, 2083, 3318, 3868, 3964, 4943, 6766, 7116
brighten             158
brightened           2775, 3407
brightly             588, 2149, 2959, 5760
brilliant            961, 4567, 6003
brimmed              7390
brimming             734
bring                170, 194, 1346, 1676, 1850, 2601, 2621, 2658, 2786, 2810, 2845, 3093, 3094, 3411, 3460, 3463, 3642, 3765, 4170, 4289, 4305, 4330, 4496, 4574, 4592, 4733, 4739, 5506, 5656
bringing             6313
briskly              829, 3817
broad                677, 1590, 1663, 6261, 7386
broke                654, 659, 1446, 1937, 2109, 2518, 2828, 2874, 3426, 3648, 5187, 6437, 6472, 6793, 6843, 7050
broken               233, 2704, 2760, 3211, 3215, 3470, 3474, 3514, 3515, 3693, 4234, 4250, 4258, 5360, 5369, 5372, 5701, 5791, 5792, 5795, 5978, 5978, 5979, 6072, 6278, 6346
brokenly             5005, 7365
brooding             5295
brook                4989
broth                1851, 1883, 1894, 2070, 2295, 2321
brother              1560
brought              238, 1277, 1375, 1887, 1894, 1894, 2271, 2610, 2618, 2669, 2682, 2833, 2912, 3046, 3183, 3573, 3658, 4249, 4487, 4594, 4813, 5342, 6245, 6524, 6599, 7111, 7121, 7419
brown                658, 3153, 3154, 5398, 6268, 6268
brows                2022, 5093
bruises              5961
brusquely            5939, 6837
buff                 6122
buffy                2771, 2810, 2826, 2835
buggy                420, 441
bugle                5546
built                1633
bulletins            7142
bunch                2624, 3183, 3566, 3728, 6524
bunnits              367
burden               1654
bureau               404, 851, 857, 1384, 1961, 2522
burning              825
burst                874, 1338, 4843, 6917
bush                 1209
bushes               1230
bushy                3317
business             1509, 1521, 2177, 3847, 3883, 4461, 7770, 7772
busy                 856, 1946
but                  94, 98, 103, 123, 132, 163, 191, 221, 228, 233, 244, 246, 250, 251, 299, 305, 313, 357, 380, 386, 417, 422, 424, 471, 499, 531, 535, 539, 552, 555, 556, 562, 562, 570, 573, 581, 629, 646, 652, 655, 658, 706, 717, 734, 819, 863, 895, 970, 981, 985, 1012, 1029, 1031, 1061, 1068, 1070, 1085, 1097, 1100, 1127, 1133, 1134, 1150, 1165, 1178, 1196, 1236, 1239, 1257, 1290, 1300, 1305, 1307, 1333, 1353, 1361, 1365, 1379, 1383, 1389, 1391, 1410, 1420, 1427, 1440, 1442, 1460, 1467, 1468, 1478, 1548, 1573, 1600, 1611, 1616, 1626, 1637, 1679, 1693, 1707, 1713, 1738, 1795, 1810, 1816, 1824, 1832, 1842, 1850, 1870, 1883, 1895, 1910, 1913, 1933, 1950, 1960, 1972, 1977, 1994, 1997, 2010, 2011, 2038, 2049, 2118, 2123, 2128, 2133, 2149, 2159, 2172, 2176, 2211, 2215, 2225, 2238, 2242, 2266, 2269, 2271, 2276, 2289, 2299, 2310, 2371, 2380, 2384, 2418, 2423, 2432, 2436, 2478, 2479, 2487, 2503, 2506, 2507, 2515, 2521, 2521, 2573, 2599, 2603, 2643, 2654, 2654, 2679, 2694, 2715, 2748, 2752, 2755, 2758, 2765, 2785, 2795, 2812, 2815, 2826, 2844, 2883, 2886, 2889, 2923, 2931, 2957, 2975, 3000, 3015, 3031, 3074, 3088, 3091, 3098, 3100, 3121, 3129, 3140, 3171, 3175, 3203, 3216, 3218, 3232, 3233, 3239, 3248, 3254, 3289, 3301, 3332, 3342, 3349, 3371, 3385, 3396, 3403, 3415, 3416, 3419, 3462, 3482, 3513, 3514, 3518, 3522, 3532, 3550, 3569, 3593, 3595, 3597, 3607, 3634, 3655, 3664, 3680, 3681, 3685, 3693, 3699, 3768, 3794, 3800, 3823, 3835, 3856, 3886, 3891, 3914, 3916, 3981, 3995, 4007, 4017, 4025, 4028, 4035, 4039, 4043, 4049, 4057, 4057, 4060, 4063, 4077, 4094, 4096, 4109, 4144, 4175, 4191, 4205, 4219, 4257, 4289, 4311, 4314, 4332, 4352, 4354, 4358, 4360, 4365, 4368, 4373, 4388, 4421, 4434, 4444, 4452, 4460, 4462, 4465, 4474, 4475, 4480, 4484, 4490, 4527, 4539, 4539, 4550, 4557, 4559, 4600, 4605, 4608, 4626, 4647, 4650, 4657, 4679, 4693, 4700, 4713, 4727, 4728, 4730, 4739, 4759, 4770, 4780, 4812, 4844, 4857, 4868, 4883, 4932, 4936, 4938, 4945, 4949, 4956, 4966, 4978, 4987, 4992, 5001, 5010, 5050, 5090, 5102, 5131, 5161, 5190, 5193, 5200, 5202, 5204, 5228, 5238, 5241, 5249, 5291, 5292, 5311, 5314, 5320, 5327, 5350, 5369, 5375, 5389, 5396, 5409, 5425, 5435, 5443, 5454, 5466, 5488, 5491, 5524, 5540, 5568, 5596, 5609, 5618, 5669, 5682, 5685, 5691, 5702, 5706, 5717, 5720, 5732, 5738, 5740, 5754, 5763, 5766, 5770, 5818, 5826, 5878, 5894, 5911, 5919, 5954, 5959, 5959, 5972, 5977, 5996, 6032, 6054, 6056, 6059, 6072, 6080, 6081, 6088, 6100, 6110, 6112, 6115, 6151, 6169, 6219, 6238, 6239, 6245, 6277, 6331, 6335, 6345, 6348, 6351, 6358, 6372, 6390, 6414, 6425, 6433, 6442, 6458, 6460, 6463, 6466, 6471, 6484, 6486, 6526, 6533, 6539, 6542, 6644, 6671, 6677, 6680, 6689, 6694, 6699, 6736, 6738, 6761, 6774, 6780, 6797, 6805, 6815, 6822, 6833, 6842, 6847, 6850, 6853, 6867, 6884, 6912, 6913, 6938, 6945, 6956, 6972, 6974, 6981, 7035, 7037, 7042, 7046, 7055, 7079, 7083, 7103, 7113, 7144, 7157, 7171, 7175, 7177, 7183, 7220, 7229, 7233, 7238, 7249, 7250, 7252, 7256, 7280, 7289, 7310, 7334, 7335, 7340, 7352, 7364, 7390, 7399, 7419, 7425, 7430, 7432, 7639, 7679, 7714, 7769, 7807
